stateName,Model,Type,Traits,agr_tr.cl,agr_tr.cl.lb,agr_tr.cl.ub,cns_tr.cl,cns_tr.cl.lb,cns_tr.cl.ub,ext_tr.cl,ext_tr.cl.lb,ext_tr.cl.ub,neu_tr.cl,neu_tr.cl.lb,neu_tr.cl.ub,opn_tr.cl,opn_tr.cl.lb,opn_tr.cl.ub,agr,cns,ext,neu,opn
Brandenburg,RICLPM,Observed,All,-0.0483433731955005,-0.140008001442016,0.0433212550510153,-0.00930792410057157,-0.11720490374993,0.0985890555487872,-0.0233515999920399,-0.132352340982673,0.085649140998593,0.0150682791508482,-0.0834132645695539,0.11354982287125,0.0371717179960127,-0.052087014472064,0.126430450464089,No,No,No,No,No
Mecklenburg-Western Pomerania,RICLPM,Observed,All,-0.133207190559643,-0.241140653993591,-0.0252737271256948,-0.0636959830264609,-0.180088701604191,0.0526967355512697,0.0624702294388296,-0.0585542629094457,0.183494721787105,-0.0511241363462192,-0.167258447458237,0.0650101747657986,0.0206662291172817,-0.0993580195764158,0.140690477810979,No,No,No,No,No
Saxony,RICLPM,Observed,All,-0.00772174093731255,-0.0890349291086281,0.073591447234003,-0.0298761675959779,-0.129665428933974,0.0699130937420177,0.0203851958572878,-0.0692499773283802,0.110020369042956,-3.3844147895079e-4,-0.104460600386312,0.10378371742841,0.0267850265216193,-0.0555880286470774,0.109158081690316,No,No,No,No,No
Saxony-Anhalt,RICLPM,Observed,All,-0.00904797843092113,-0.0966360189397869,0.0785400620779446,-0.0261231764769409,-0.102972337504649,0.0507259845507676,0.0198800993359004,-0.0859864272644143,0.125746625936215,-0.00680662026083086,-0.104901598707468,0.0912883581858066,0.00388232354466317,-0.0906142068024868,0.0983788538918132,No,No,No,No,No
Thuringia,RICLPM,Observed,All,0.0238504881276837,-0.0606339983916695,0.108334974647037,-0.00919379654952144,-0.0928842550724275,0.0744966619733846,-0.0275496125880003,-0.105779703880783,0.0506804787047827,-0.1214977787576,-0.216193615631689,-0.0268019418835105,-0.0570994630528128,-0.162173911010836,0.0479749849052106,No,No,No,No,No
Schleswig-Holstein,CLPM,Latent,Single,0.0183997224211785,-0.0381296000866952,0.0749290449290522,-0.00535775186040341,-0.0578412971699046,0.0471257934490978,0.0337804249524264,-0.0166266863569424,0.0841875362617953,0.0396540873559241,-0.0165373151692572,0.0958454898811054,-0.0104285351204866,-0.0671249171967337,0.0462678469557604,No,No,No,No,No
Hamburg,CLPM,Latent,Single,0.0155984118462297,-0.0736619799938919,0.104858803686351,-0.00903006447108517,-0.0829945630539036,0.0649344341117332,0.0192418238897737,-0.0377852265449005,0.076268874324448,-0.00434555209714085,-0.0554184163274064,0.0467273121331247,0.0169112934473716,-0.0539224385123224,0.0877450254070655,Yes,No,No,No,Yes
Lower Saxony,CLPM,Latent,Single,0.0153761624517597,-0.0124757102150585,0.0432280351185779,-0.00831924365984944,-0.0343905238063923,0.0177520364866934,0.00237076043428484,-0.022792075907505,0.0275335967760747,0.00202972464446612,-0.0247587945834106,0.0288182438723429,-0.0172465181605295,-0.0458547485491612,0.0113617122281022,No,No,No,No,No
Bremen,CLPM,Latent,Single,-0.0217401311478504,-0.107861639406758,0.0643813771110574,-0.0692685671985018,-0.183470502135273,0.0449333677382698,0.021744022997201,-0.0702186169084953,0.113706662902897,-0.0651899944891482,-0.166747981016781,0.0363679920384848,-0.047431372351328,-0.127203300741398,0.032340556038742,Yes,No,No,Yes,No
North Rhine-Westphalia,CLPM,Latent,Single,0.022075652970219,0.00238333773823207,0.0417679682022058,0.00400314872482049,-0.0145150730741023,0.0225213705237433,0.00885214085179662,-0.00700945423022538,0.0247137359338186,-4.6763651005097e-4,-0.0181115226660802,0.0171762496459783,0.0230221621156888,0.00522526558420937,0.0408190586471683,No,No,No,No,No
Hesse,CLPM,Latent,Single,0.0497950383214921,0.0170687519913827,0.0825213246516015,0.021800117697817,-0.00909631001094156,0.0526965454065756,0.0172504156418781,-0.00901332751898957,0.0435141588027457,-0.019249172514606,-0.0501660429209106,0.0116676978916986,-0.034421430185614,-0.0652585922483324,-0.00358426812289557,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,Single,-0.0229568757149435,-0.067421757695332,0.021508006265445,-0.023024009694765,-0.0636348411332149,0.0175868217436849,-0.00689238882426584,-0.041099365693181,0.0273145880446493,0.0202015466484184,-0.0187675117230499,0.0591706050198867,-0.0470684977951454,-0.0840524367141613,-0.0100845588761296,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,Single,0.0238029106382138,-0.00190895382048601,0.0495147750969137,-0.0140742482516234,-0.0383731629935483,0.0102246664903014,-8.6101140790385e-4,-0.0217868055003216,0.0200647826845139,0.00139262906263947,-0.022310194209521,0.0250954523348,-0.0176493737593632,-0.0410481453122038,0.00574939779347733,No,No,No,No,No
