stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Schleswig-Holstein,CLPM,Latent,Single,0.0906352083806124,0.0333134198328989,0.147956996928326,-0.00530832998155066,-0.069988041723284,0.0593713817601826,0.0733389437145351,0.0216873280707783,0.124990559358292,0.079424648291854,0.018863321428226,0.139985975155482,0.0177905878312252,-0.0393525543674293,0.0749337300298798,No,No,No,No,No
Hamburg,CLPM,Latent,Single,0.0474179200632387,-0.0308232692194585,0.125659109345936,0.023233430344458,-0.0434260594752663,0.0898929201641822,-0.0142166790000911,-0.0792469644872392,0.0508136064870571,0.01268045302447,-0.0454973481295002,0.0708582541784402,-0.0563601784001018,-0.128459450082428,0.0157390932822245,Yes,No,No,No,Yes
Lower Saxony,CLPM,Latent,Single,0.0258794897851487,-0.00125275479019469,0.053011734360492,0.0193591045282567,-0.0076037369266387,0.0463219459831521,-0.0033455332812471,-0.0291819532178036,0.0224908866553093,0.00790265445327993,-0.0171490748187214,0.0329543837252812,0.0154029785311333,-0.0128684623268261,0.0436744193890927,No,No,No,No,No
Bremen,CLPM,Latent,Single,8.1087469350045e-4,-0.0685191828251194,0.0701409322121204,-0.027706228061879,-0.107424252415488,0.05201179629173,-0.0046414796043244,-0.12211763743761,0.112834678228961,0.0113668233001924,-0.123180159972627,0.145913806573011,0.0925673657753396,-0.014263243641537,0.199397975192216,Yes,No,No,Yes,No
North Rhine-Westphalia,CLPM,Latent,Single,0.0370535132557664,0.0182677681532715,0.0558392583582613,0.0181914775088543,6.9233262292129e-4,0.0356906223947873,0.013893646427357,-0.00210825223862651,0.0298955450933405,0.00855202028548336,-0.00893267711991177,0.0260367176908785,-0.00679512642339473,-0.0243353900304184,0.0107451371836289,No,No,No,No,No
Hesse,CLPM,Latent,Single,0.0241845502071191,-0.00807051349866771,0.056439613912906,0.00621842804239482,-0.0303412951279355,0.0427781512127252,0.00500832177454892,-0.0245249668664491,0.034541610415547,0.0122123462820598,-0.0184170806574424,0.0428417732215619,-0.0172025078698952,-0.0511837835391687,0.0167787677993783,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,Single,0.0380969693137257,-0.0042325617704899,0.0804265003979412,9.3911556336613e-4,-0.0414824863046757,0.043360717431408,-0.0207095553729949,-0.0589029064815118,0.0174837957355219,0.0142361482342186,-0.0275234507707198,0.0559957472391569,0.00462642898371118,-0.034239675771364,0.0434925337387863,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,Single,0.0338720117836886,0.00869892552819975,0.0590450980391775,0.0205612172439182,-0.00249967254173663,0.0436221070295731,-0.00303479143068612,-0.0234967201892184,0.0174271373278462,-0.0036288925471056,-0.0253698146962898,0.0181120296020786,-0.0226685626874508,-0.0459400357776251,6.0291040272361e-4,No,No,No,No,No
Bavaria,CLPM,Latent,Single,0.029249155907657,0.0102026290235096,0.0482956827918044,0.00866688604244148,-0.00973322637024769,0.0270669984551307,-0.0252789041708825,-0.0428621312986038,-0.00769567704316117,0.00145498838783496,-0.0158082882231062,0.0187182649987761,-0.0261001281068728,-0.0451588892335173,-0.00704136698022833,No,No,No,No,No
Saarland,CLPM,Latent,Single,0.170878384051314,0.0608034044896138,0.280953363613014,0.102151604372149,0.00729590255176214,0.197007306192537,0.0327345755242441,-0.050860821590377,0.116329972638865,-0.0102361016101371,-0.109924293348894,0.0894520901286193,0.0953126476505266,-0.00343865815977655,0.19406395346083,No,No,No,No,No
Berlin,CLPM,Latent,Single,-0.00209251616388907,-0.0469299862536219,0.0427449539258438,-0.0170478960868525,-0.0598526209920326,0.0257568288183276,0.00981830494125062,-0.0272681757879349,0.0469047856704361,0.0215652951767464,-0.0158415658400019,0.0589721561934947,0.00674862814235408,-0.0326967070886139,0.0461939633733221,No,No,No,No,No
Brandenburg,CLPM,Latent,Single,0.0606159943823745,0.0251771344886343,0.0960548542761146,-5.8984684037151e-4,-0.0388108761904593,0.0376311825097163,0.0332389140536372,-0.00375574953590944,0.0702335776431838,-0.00314144699081422,-0.0415340923572098,0.0352511983755813,0.0341869513835007,-0.00675134714038164,0.075125249907383,No,No,No,No,No
Mecklenburg-Western Pomerania,CLPM,Latent,Single,0.0692382068128138,0.00804925214537708,0.130427161480251,0.0363205532660292,-0.0142732149120463,0.0869143214441047,0.0322032672104624,-0.0179638571750879,0.0823703915960126,0.00100789830699374,-0.0507815831944991,0.0527973798084866,0.0383915455217905,-0.0217597856616044,0.0985428767051854,No,No,No,No,No
Saxony,CLPM,Latent,Single,0.0266914966273081,0.00615662456139486,0.0472263686932213,-0.0116375249841088,-0.0348332167252729,0.0115581667570552,0.00753243385902804,-0.0133814501468207,0.0284463178648767,-0.00515086407666497,-0.0281337421062155,0.0178320139528856,0.0149482216533995,-0.00783669573564943,0.0377331390424484,No,No,No,No,No
Saxony-Anhalt,CLPM,Latent,Single,0.0132340895778466,-0.0158523638534686,0.042320543009162,-0.00266297601094845,-0.0310110465433212,0.0256850945214242,-0.0066243747394138,-0.0310081224969244,0.0177593730180968,-0.0137103821919858,-0.0435239757717067,0.016103211387735,0.0246553875836263,-0.0110561313151004,0.0603669064823531,No,No,No,No,No
Thuringia,CLPM,Latent,Single,0.00303659920496661,-0.0280439214595042,0.0341171198694374,0.00887375795917801,-0.0181155874647911,0.0358631033831471,-0.020437154945834,-0.0464636869657567,0.00558937707408876,-0.00713568887830459,-0.0337524065429512,0.019481028786342,0.0212233428832509,-0.0101544314212304,0.0526011171877322,No,No,No,Yes,No
