trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
ext,tr.cl,CLPM,Observed,All,3.496297322696351e-4,0.0052597121491169555,-0.009959216649047363,0.010658476113586631,-6.061233609192073e-4,0.004982112929821743,-0.010370885270281153,0.009158638548442738
ext,tr.cl,CLPM,Observed,Single,-3.0459874939593853e-4,0.005259793018827073,-0.010613603632432208,0.01000440613364033,-0.00087380659256348415,0.004982163834765203,-0.010638668273781245,0.008891055088654277
ext,tr.cl,RICLPM,Latent,All,0.022908467588265168,0.015926308855879753,-0.008306524175920458,0.05412345935245079,-0.009190606716740232,0.015041481898773662,-0.038671369512447755,0.020290156078967288
ext,tr.cl,RICLPM,Latent,Single,0.012445031892730756,0.01449157029578678,-0.015957923966441787,0.0408479877519033,-0.009771220223016562,0.014484569835830404,-0.038160455432799396,0.018618014986766268
ext,tr.cl,RICLPM,Observed,All,0.015028206739429735,0.01547054788576487,-0.015293509937771687,0.04534992341663116,2.954853561397163e-4,0.0156505891490204,-0.030379105712773635,0.03097007642505307
ext,tr.cl,RICLPM,Observed,Single,0.015015295687203695,0.01897826733971639,-0.02218142478761321,0.0522120161620206,8.397227663812235e-4,0.019307764856444743,-0.03700280097421864,0.038682246506981086
neu,rt.cl,CLPM,Latent,All,0.01103133405332971,0.0058089543244173635,-3.54007210366521e-4,0.022416675317025944,-0.002080817432988461,0.005465391762556375,-0.012792788449000841,0.008631153583023918
neu,rt.cl,CLPM,Latent,Single,0.00719540176980603,0.005519994637359005,-0.003623588914271855,0.018014392453883914,-4.89944881224258e-4,0.005155085572189911,-0.01059372693993854,0.009613837177490024
neu,rt.cl,CLPM,Observed,All,0.010020499180754474,0.005257170399252748,-2.833654623709686e-4,0.020324363823879917,-0.0012966769396759777,0.004981360488626361,-0.011059964091394491,0.008466610212042536
neu,rt.cl,CLPM,Observed,Single,0.005967132651033655,0.005258154858418584,-0.004338661496601074,0.016272926798668385,4.1301385642856516e-4,0.004981599388522515,-0.009350741530482319,0.01017676924333945
neu,rt.cl,RICLPM,Latent,All,-0.0011148807963947266,0.05909829182269521,-0.11694540431671531,0.11471564272392586,0.026127870436694393,0.05646368950073889,-0.0845389274190062,0.136794668292395
neu,rt.cl,RICLPM,Latent,Single,0.024733558726522466,0.028279789338159705,-0.03069380986665036,0.08016092731969529,0.012000221457177794,0.027722493323289646,-0.042334867018122016,0.0663353099324776
neu,rt.cl,RICLPM,Observed,All,0.02202517928432123,0.018214233794340673,-0.013674062958578818,0.05772442152722128,0.005354568610754606,0.018506598940740672,-0.030917698789424217,0.04162683601093343
neu,rt.cl,RICLPM,Observed,Single,0.02336026155322722,0.018114509916380774,-0.012143525480472761,0.0588640485869272,0.00398942076570924,0.018404253466970742,-0.032082253191899834,0.04006109472331831
neu,tr.cl,CLPM,Latent,All,0.001150164460576467,0.00536533133368574,-0.009365691718571838,0.01166602063972477,1.801847256680312e-4,0.005020560338829806,-0.009659932720648598,0.01002030217198466
neu,tr.cl,CLPM,Latent,Single,0.0018882281609636452,0.005521425998493239,-0.00893356793938621,0.0127100242613135,7.977069372302007e-4,0.0051553429013228205,-0.009306579477316756,0.010901993351777156
neu,tr.cl,CLPM,Observed,All,0.0026924580154641577,0.00525957072363625,-0.007616111177004161,0.013001027207932477,0.0014812936178409586,0.004982016317190836,-0.008283278934243956,0.011245866169925874
neu,tr.cl,CLPM,Observed,Single,0.003072391683441747,0.005259527493368301,-0.00723609277925835,0.013380876146141843,0.0015287157005620083,0.004981940587121482,-0.008235708423314428,0.011293139824438444
neu,tr.cl,RICLPM,Latent,All,0.013966407483547268,0.021104455499863804,-0.027397565209514047,0.05533038017660859,0.003944039934701362,0.02004410508517277,-0.03534168413457342,0.04322976400397614
neu,tr.cl,RICLPM,Latent,Single,0.016464951687566835,0.025790992948891863,-0.03408446561778769,0.06701436899292136,-0.002085660399981982,0.02526706300949521,-0.051608193893696815,0.04743687309373285
