stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Brandenburg,RICLPM,Latent,All,0.135696508502629,-0.326372892729241,0.5977659097345,-0.128810094718322,-0.558298911547584,0.300678722110941,-0.367093458973603,-0.855937607000336,0.12175068905313,-0.219841579218687,-0.518650018870873,0.0789668604334988,0.312267185230774,-0.0924334736329464,0.716967844094494,Yes,Yes,Yes,Yes,Yes
Mecklenburg-Western Pomerania,RICLPM,Latent,All,-0.172291484516329,-0.553904199604468,0.20932123057181,0.025015570948603,-0.38255603880363,0.432587180700837,0.26753827729321,-0.0872542910887782,0.622330845675198,-0.0344786090412817,-0.246926228175176,0.177969010092613,0.00561258039808207,-0.317664473963058,0.328889634759222,Yes,Yes,Yes,Yes,Yes
Saxony,RICLPM,Latent,All,0.0650681328898303,-0.110850263020537,0.240986528800198,-0.0981393120357621,-0.283366109976872,0.0870874859053477,-0.0116859553531957,-0.282106620831751,0.258734710125359,-0.0909120614263617,-0.218053638009659,0.0362295151569358,0.024177905762494,-0.251811113323659,0.300166924848647,No,No,No,No,No
Saxony-Anhalt,RICLPM,Latent,All,0.183506601592848,-0.0791596229335781,0.446172826119273,-0.0806682284264666,-0.343183356815748,0.181846899962815,-0.0446728565088671,-0.317532996203922,0.228187283186187,0.0611047540568435,-0.109664726281975,0.231874234395662,-0.0660132250749131,-0.336644703696117,0.20461825354629,Yes,Yes,Yes,Yes,Yes
Thuringia,RICLPM,Latent,All,0.142476578181629,-0.468272272019447,0.753225428382705,-0.142787085990653,-0.629713656625955,0.344139484644649,-0.256766717250546,-0.751094068304588,0.237560633803495,-0.191298315902415,-0.43856538478732,0.0559687529824911,0.320593133498352,-0.379009692600416,1.02019595959712,Yes,Yes,Yes,Yes,Yes
Schleswig-Holstein,CLPM,Observed,All,0.0965520759859924,0.0481584223026567,0.144945729669328,0.0017305265205094,-0.0554141093712517,0.0588751624122705,0.0388940261821738,-0.00799207538507089,0.0857801277494184,0.0931048409170811,0.0401063632936198,0.146103318540542,4.9633225688652e-4,-0.0482594450946579,0.049252109608431,No,No,No,No,No
Hamburg,CLPM,Observed,All,0.0139069063776154,-0.0394875693231297,0.0673013820783605,0.0266124635141681,-0.0280891402686273,0.0813140672969634,0.00900821879211876,-0.0522348249008252,0.0702512624850628,0.0219096140464326,-0.0253546830278432,0.0691739111207083,-0.021033807648392,-0.0813416460899584,0.0392740307931744,No,No,No,No,No
Lower Saxony,CLPM,Observed,All,0.0160920503525539,-0.00668655188070926,0.038870652585817,0.0183321187878581,-0.00512348481013874,0.041787722385855,-0.0276998551296373,-0.0516887078935429,-0.00371100236573178,0.0136286196433437,-0.00887306693907265,0.03613030622576,0.0292508263624567,0.00388140387068411,0.0546202488542293,No,No,No,No,No
Bremen,CLPM,Observed,All,-0.00421171537577656,-0.105334727833345,0.0969112970817919,-0.00647751465053592,-0.0987332163065263,0.0857781870054544,-0.0268703454445694,-0.140853114542175,0.0871124236530359,-0.00908347208739153,-0.100147427720907,0.0819804835461237,0.0823737724663904,-0.0183866280646468,0.183134172997428,No,No,No,No,No
North Rhine-Westphalia,CLPM,Observed,All,0.0293148495059805,0.0136687404617581,0.044960958550202997,0.0142532512820963,-0.0019360945374566,0.0304425971016491,0.00183924522053983,-0.0141081310330496,0.0177866214741293,0.0168539380793033,0.00163775937056497,0.0320701167880416,-0.00933746547151122,-0.0251251174691167,0.00645018652609424,No,No,No,No,No
